Neighborhood Name,Level of Disadvantage,Total Population,Percent White Alone,Percent Black Alone,Percent Asian Alone,Percent Latino Alone,Percent Biracial or Other,Family Poverty Rate,Single Mother Rate,Male Uneml/Unattach Rate,Percent of 25 and up w/o Bachelor or more,Median Home Value,Median Gross Rent,Percent w/o Internet Access,Percent w/o Vehicle,Average Child to Adult Income Rank Outcome,Average Dispatches for Shots Fired/Reported,Disadvantage Z Score
"Allegheny Center-Allegheny West
",Low Disadvantage,2044,61.399217221135,22.2113502935421,3.03326810176125,2.93542074363992,10.4207436399217,7,3.19488817891374,18.9473684210526,44.9265687583445,261400,945,12.6984126984127,24.6825396825397,23695.086,1.81017612524462,-0.472663497673264
Allentown,High Disadvantage,2372,41.8634064080944,48.5244519392917,1.85497470489039,0.21079258010118,7.54637436762227,23.7,51.7421602787456,27.9352226720648,87.5081327260898,33400,701,40.9818569903949,40.0213447171825,26438.143,8.93760539629005,0.811867965847351
"Arlington-Arlington Heights 
",High Disadvantage,2199,63.1650750341064,30.968622100955,0,0.818553888130969,5.04774897680764,15.8,30.3643724696356,26.2068965517241,90.3098220171391,48400,697,26.6004415011038,30.5739514348786,28752.473,4.45657116871305,0.28778746108205
Banksville,Very Low Disadvantage,3840,79.6354166666667,3.93229166666667,11.5364583333333,1.06770833333333,3.828125,3.9,2.07612456747405,13.003300330033,58.9152322182527,147000,913,12.9828326180257,5.79399141630901,39476.008,0.729166666666667,-0.900657438476451
Bedford Dwellings,Extreme Disadvantage,1292,0,96.2074303405573,0,2.94117647058824,0.851393188854488,52,62.7692307692308,67.1378091872791,96.0687960687961,47900,286,36.8872549019608,79.656862745098,20284.703,6.96594427244582,1.7773944024761
Beechview,Low Disadvantage,4209,76.5027322404372,12.3544784984557,1.92444761225944,4.03896412449513,5.17937752435259,11.8,7.51515151515151,7.77479892761394,71.5363511659808,91100,884,17.4920969441517,11.854583772392,33439.891,1.87693038726538,-0.525020825363335
"Beltzhoover-Bon Air 
",High Disadvantage,2535,45.3648915187377,28.4418145956607,0,11.9921104536489,14.2011834319527,23,17.5491679273828,22.1216041397154,80.895008605852,75100,835,17.440912795436,20.7823960880196,26161.998,9.03353057199211,0.35899045571636
Bloomfield,Low Disadvantage,9033,83.1285287279973,5.83416362227388,5.67917635337097,4.09609210671981,1.262039189638,7.3028328611898,8.21529745042493,16.2543229582336,42.7465596330275,191702.081257611,881.292151001882,16.2941299352413,24.8172132859829,32868.2183403078,0.229885158897247,-0.744772880508412
Bluff,Extreme Disadvantage,6668,60.9328134373125,27.4895020995801,3.46430713857229,3.59928014397121,4.51409718056389,45.8,34.640522875817,89.0353920888272,87.19836400818,152500,1045,20.3125,30.3125,24123.797,2.23455308938212,1.30777126661793
Brighton Heights,Moderate Disadvantage,7190,69.6522948539638,23.5048678720445,1.84979137691238,1.40472878998609,3.58831710709319,9.27369027058146,13.4715025906736,18.218018914883,65.7771095658711,127279.707927677,899.09471488178,19.869918699187,11.1219512195122,30794.2282307371,1.04816224047849,-0.39641514461154
Brookline,Low Disadvantage,13187,85.6980359444908,5.08076135588079,2.88162584363388,4.21627360279063,2.1233032532039,5.98301378070701,10.6051527860995,19.0841416647868,68.8202821508894,104016.994009252,845.059604155608,14.0593391773432,10.9069453809845,37558.7099243952,0.262559492914451,-0.625667078918539
