Nhood,Label,Avg_Need_ZScore,Level of Need,Socioeconomic Class,College Student Enrollment,College_Enrollment_Rate,Family Poverty Rate,Unemploy_Rate,Lack_of_Educ_Attain_Rate,Single_Parent_Rate,Avg_Homicide_Rate,Homicides,Avg_Homicides,WA_Med_HH_Income,WA_Med_Home_Value,WA_Med_Contract_Rent,Total_Pop,Hispanic_Latino_Rate,NH_White_Rate,NH_Black_Rate,NH_AmericanIndian_Rate,NH_Asian_Rate,NH_PI_Rate,NH_Other_Rate,NH_Biracial_Rate,Total_Housing_Units,Occupied_Units_Rate,Vacant_Unit_Rate,Shape__Area,Shape__Length,x,y
Allegheny Center,Allegheny Center,-0.070515005929576,Moderate Need,Working,Not Significant,6.553911205074,31.25,4.77611940298508,35.6177606177606,21.875,0,0,0,43386,Insufficient Data,978,1419,3.52360817477097,47.2163495419309,27.4136715997181,0.493305144467935,16.4904862579281,0.0704721634954193,0.493305144467935,4.29880197322058,1080,94.7222222222222,5.27777777777778,936721.09375,4231.51202137546,,
Allegheny West,Allegheny West,-0.814763398471967,Very Low Need,Upper-middle,Not Significant,4.37017994858612,3.92156862745098,4.88431876606684,23.2919254658385,0,0,0,0,82500,328100,860,540,7.59259259259259,77.037037037037,5.92592592592593,0,2.96296296296296,0.185185185185185,0.37037037037037,5.92592592592593,339,88.7905604719764,11.2094395280236,632653.40234375,3504.08851196451,,
Allentown,Allentown,0.4239519092726,High Need,Working,Not Significant,6.86839577329491,11.0671936758893,4.06685236768802,79.5109054857898,29.2490118577075,60.7375271149675,7,1.4,43336.420824295,31515.003928,643.768263943441,2305,3.51409978308026,54.3167028199566,33.882863340564,0.130151843817787,0.824295010845987,0.260303687635575,0.6941431670282,6.37744034707158,1160,85.0862068965517,14.9137931034483,1319398.1328125,6492.03354736105,,
Arlington-Arlington Heights-Mt. Oliver-St. Clair,Arlington-Arlington Heights-Mt. Oliver-St. Clair,1.37081378617778,Extreme Need,Working,Not Significant,2.8960223307746,36.0981308411215,11.9079238601151,84.3783209351753,53.7383177570093,7.50187546886722,1,0.2,33083,57200,500,2666,3.41335333833458,57.8769692423106,30.9452363090773,0.0375093773443361,0.300075018754689,0,1.31282820705176,6.11402850712678,1321,87.9636638909917,12.0363361090083,4539277.48046875,9490.17839891627,,
Banksville,Banksville,-0.575867914745924,Low Need,Middle,Not Significant,4.5299816705944,5.95111583421892,1.93265007320644,56.4761582685154,10.9458023379384,0,0,0,69880.1342379452,143582.82045,894.305966587112,4127,3.8284468136661,76.6173976253937,4.60382844681367,0.145384056215168,9.32881027380664,0,0.581536224860674,4.894596559244,2136,94.9438202247191,5.0561797752809,4330404.19140625,10209.4742157056,,
Bedford Dwellings,Bedford Dwellings,2.0619597217758,Extreme Need,Lower,Not Significant,3.3800494641385,37.7483443708609,10.5050505050505,93.4246575342466,72.8476821192053,86.5800865800866,6,1.2,16551,49500,237,1386,1.8037518037518,3.67965367965368,90.5483405483405,0.505050505050505,0.216450216450216,0,0,3.24675324675325,826,90.3147699757869,9.68523002421307,802770.69921875,5694.04231046608,,
Beechview,Beechview,-0.379002001912335,Low Need,Middle,Not Significant,8.48014725216934,4.16428978893326,2.88359386856883,72.091388400703,12.3217341699943,0,0,0,58004.7340577638,95203.133228,720.748336708128,7596,10.2685624012638,70.1026856240126,11.6377040547657,0.0921537651395471,2.06687730384413,0.0131648235913639,0.618746708794102,5.20010531858873,3848,90.2286902286902,9.77130977130977,6530616.07421875,13122.3469803671,,
Beltzhoover,Beltzhoover,0.796053857748171,High Need,Lower,Not Significant,4.14698162729659,38.1278538812785,0.613026819923372,84.3959731543624,39.4977168949772,74.8129675810474,6,1.2,28229.1483790524,52261.59601,622.498753117207,1604,5.7356608478803,11.3466334164589,73.0049875311721,0.43640897755611,0.872817955112219,0,0.872817955112219,7.73067331670823,910,77.5824175824176,22.4175824175824,1881169.8671875,5380.78584515603,,
Bloomfield,Bloomfield,-0.712310110774293,Very Low Need,Middle,Not Significant,15.6924072476273,2.99438552713662,2.926048691279,40.1404646137223,6.73736743605739,4.61627236006924,2,0.4,53920.5639930756,238453.98731,879.976226197346,8665,4.74321984997115,76.8840161569533,5.88574725908829,0.0807847663012118,7.85920369301789,0.0115406809001731,0.461627236006924,4.07386035776111,5405,91.1193339500463,8.88066604995375,3144929.08203125,8495.94543053653,,
Bluff,Bluff (Uptown),0.377671028599456,High Need,Working,Significant Enrollment,53.2132498855137,38.0597014925373,2.35493304602124,90.4466019417476,26.1194029850746,0,0,0,39531,147700,1049,5882,5.62733764025841,58.1604896293778,31.4008840530432,0.612036722203332,2.07412444746685,0,0.18701122067324,1.93811628697722,479,81.6283924843424,18.3716075156576,1465389.3359375,6293.56668847051,,
Bon Air,Bon Air,-0.0584218609458775,Moderate Need,Middle,Not Significant,7.03703703703704,6.11353711790393,3.70942812982998,71.8861209964413,31.4410480349345,0,0,0,53375,84200,885,759,1.71277997364954,86.6930171277997,8.5638998682477,0,0.922266139657444,0,0,2.10803689064559,392,92.0918367346939,7.90816326530612,1403977.40625,6366.40087824477,,
Brighton Heights,Brighton Heights,-0.308822337784794,Moderate Need,Middle,Not Significant,4.0573476702509,3.15151515151515,3.2536196518627,63.2740213523132,14,19.7044334975369,7,1.4,65364.6064743139,120592.22967,710.101900070373,7105,3.1667839549613,65.1935256861365,25.1090781140042,0.126671358198452,1.21041520056298,0,0.689655172413793,4.50387051372273,3541,92.0361479807964,7.96385201920361,5007763.8125,10466.0473424255,,
Brookline,Brookline,-0.405199426620361,Low Need,Middle,Not Significant,6.44321766561514,6.80933852140078,2.60979121670266,66.765306122449,11.9001297016861,1.53104187399525,1,0.2,65013.3129493287,121971.89007,789.576936599086,13063,3.55967235703897,82.4695705427543,6.03996019291128,0.107172931179668,2.62573681390186,0.0535864655898339,0.612416749598101,4.53188394702595,6336,93.844696969697,6.15530303030303,9299366.59375,14979.8374779214,,
California-Kirkbride,California-Kirkbride,0.509901366990148,High Need,Lower,Not Significant,15.3236459709379,30.7142857142857,2.01238390092879,87.7846790890269,35.7142857142857,28.2087447108604,1,0.2,28125,71500,700,709,2.25669957686883,29.0550070521862,64.1748942172073,0.141043723554302,0.705218617771509,0,0.705218617771509,2.96191819464034,345,85.2173913043478,14.7826086956522,972157.671875,4691.52361622706,,
Carrick,Carrick,0.13925469186347,Moderate Need,Working,Not Significant,4.96522411128284,15.9153273226186,5.13706262536216,77.0918891170431,18.2281458251666,13.6054421768707,7,1.4,41142.1539358601,80806.948494,733.679008746356,10290,3.91642371234208,67.7065111758989,15.9669582118562,0.204081632653061,6.15160349854227,0.0194363459669582,0.602526724975705,5.43245869776482,5017,89.1767988837951,10.8232011162049,7478632.09375,16177.6661809359,,
Central Business District,Central Business District (Downtown),-0.739938425490538,Very Low Need,Upper,Semi Significant Enrollment,29.5933456561922,9.93548387096774,2.35360572396912,25.6305939788446,4,18.2581705313128,5,1,93623.8445527845,458646.27789,1350.61897618601,5477,5.62351652364433,68.4133649808289,11.5391637757897,0.0730326821252511,10.4984480555048,0.0182581705313128,1.02245754975351,2.81175826182217,3900,80.5384615384615,19.4615384615385,2865603.0859375,9226.1600304035,,
Central Lawrenceville,Central Lawrenceville,-0.866996728383474,Very Low Need,Middle,Not Significant,8.26463749735785,0,2.11651756491381,40.0933488914819,2.47074122236671,4.23728813559322,1,0.2,67224.4527141645,250331.7218,1108.44017616834,4720,3.55932203389831,84.9364406779661,4.34322033898305,0.0211864406779661,3.47457627118644,0.0423728813559322,0.656779661016949,2.96610169491525,2921,88.8052036973639,11.1947963026361,4315217.64453125,10193.8456452823,,
Central Northside,Central Northside (Mexican War Streets),0.190425362358124,High Need,Middle,Not Significant,5.44111931597357,31.4183123877917,4.17963539350823,52.1759697256386,28.3662477558348,13.4589502018843,2,0.4,52454,314800,778,2972,3.49932705248991,59.4549125168237,30.3835800807537,0.168236877523553,1.8842530282638,0,0.471063257065949,4.13862718707941,1861,83.3960236432026,16.6039763567974,1159832.25,5764.02818802479,,
Central Oakland,Central Oakland,-0.301532578757601,Moderate Need,Lower,Significant Enrollment,76.2281197063806,10,5.05851264628162,66.7361835245047,0,6.85518423307626,2,0.4,16563.8294772922,221900,1015.70814053128,5835,3.75321336760925,75.9725792630677,4.88431876606684,0.0685518423307626,10.7283633247644,0.0171379605826907,0.411311053984576,4.16452442159383,2635,85.5028462998102,14.4971537001898,1259306.46875,4618.16367905033,,
Chartiers City-Windgap,Chartiers City-Fairywood-Windgap,-0.338344975055518,Moderate Need,Middle,Not Significant,5.16962843295638,4.21792618629174,4.14985590778098,76.6951942067149,4.92091388400703,0,0,0,58457.2069716776,94100.599129,667,1836,3.7037037037037,44.6623093681917,43.1917211328976,0.272331154684096,1.68845315904139,0.163398692810458,0.925925925925926,5.3921568627451,882,88.7755102040816,11.2244897959184,2442328.19140625,9205.53536106084,,
Crafton Heights,Crafton Heights,0.238216822505046,High Need,Working,Not Significant,4.24175214859994,21.8390804597701,3.3311125916056,74.9904397705545,31.0344827586207,15.0037509377344,3,0.6,40061.3350837709,91092.973243,676.410852713178,3999,2.37559389847462,56.4391097774444,31.357839459865,0.200050012503126,1.67541885471368,0,1.17529382345586,6.77669417354339,1824,92.1052631578947,7.89473684210526,3361047.42578125,8513.15129841631,,
Crawford-Roberts,Crawford-Roberts,1.1101302360364,Extreme Need,Lower,Not Significant,9.78142076502732,19.0677966101695,10.3217972070431,81.4814814814815,41.9491525423729,52.3331879633668,6,1.2,18293.8068033144,145592.49891,680,2293,2.39860444832098,12.6907980811164,76.5372873964239,0.392498909725251,2.87832533798517,0.0436109899694723,0.610553859572612,4.44832097688618,1371,88.6214442013129,11.3785557986871,1156740.85546875,6290.27085564632,,
Duquesne Heights,Duquesne Heights,-0.689844526472827,Low Need,Upper-middle,Not Significant,5.67190226876091,5.16129032258065,0.410396716826265,47.9726428920371,5.80645161290323,25.0312891113892,3,0.6,72691.1489361702,153244.68085,869.170212765957,2397,3.04547350855236,88.4438881935753,2.79516061743846,0,2.08594075928244,0.0834376303712974,0.208594075928244,3.3375052148519,1432,89.804469273743,10.195530726257,2787418.55078125,7744.43784711546,,
East Allegheny,East Allegheny (Deutschtown),-0.109819687023296,Moderate Need,Working,Not Significant,4.61880912632165,10.9243697478992,4.26378624218306,55.3062462098241,20.5882352941176,21.0194429847609,2,0.4,34648.3131897005,205847.3463,607.401996847084,1903,3.83604834471886,66.0010509721492,23.0162900683132,0.105097214923805,2.20704151339989,0.105097214923805,0.105097214923805,4.6242774566474,1466,76.8076398362892,23.1923601637108,1057094.93359375,5782.77588835508,,
East Carnegie,East Carnegie,0.446471735947387,High Need,Working,Not Significant,6.03864734299517,31.0679611650485,5.45454545454545,75.2873563218391,32.0388349514563,0,0,0,41250,78000,585,491,4.4806517311609,68.2281059063136,14.867617107943,0.814663951120163,1.62932790224033,0,0.203665987780041,9.77596741344195,233,86.6952789699571,13.3047210300429,1921028.6484375,7381.6773975526,,
